name_auction	link	serial_number	hours_used	sold_price	sold_date	country
1990 ATLAS COPCO 50 KVA	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266932&LP=MAT	ARE942319	6.809	4.500	26-9-2014 4:20:00	Netherlands
1991 ATLAS COPCO 100 KVA	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9308877&LP=MAT	ARE944315		7.500	13-6-2013 9:14:00	Netherlands
ATLAS COPCO 105 KVA	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9308917&LP=MAT	OBL	2.931	5.500	13-6-2013 9:19:00	Netherlands
ATLAS COPCO 105 KVA	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9308887&LP=MAT	0001006482		4.500	13-6-2013 9:15:00	Netherlands
ATLAS COPCO 4250 KVA	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9975541&LP=MAT	0000837579	8.943	3.750	9-5-2014 2:34:00	Netherlands
2004 ATLAS COPCO QAS18	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266976&LP=MAT	YA360631500464440	15.672	1.250	26-9-2014 4:20:00	Netherlands
2006 ATLAS COPCO QAS20	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9309075&LP=MAT	YA306276170626919	5.291	3.750	13-6-2013 9:36:00	Netherlands
2008 ATLAS COPCO QAS40KD	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9309053&LP=MAT	YA306369180717563	10.012	5.500	13-6-2013 9:34:00	Netherlands
2007 ATLAS COPCO QAS45	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9309025&LP=MAT	WA306341970632224	3.741	6.500	13-6-2013 9:30:00	Netherlands
2008 ATLAS COPCO QAS60	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=10266974&LP=MAT	YA306341X80724508		3.000	26-9-2014 4:20:00	Netherlands
1994 ATLAS COPCO QAS60	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9308971&LP=MAT	ARE942924		5.000	13-6-2013 9:24:00	Netherlands
1994 ATLAS COPCO QAS60KD	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9308977&LP=MAT	ARER942976		5.000	13-6-2013 9:25:00	Netherlands
ATLAS COPCO QAS60KD	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9309017&LP=MAT	ARE942063	794	3.000	13-6-2013 9:29:00	Netherlands
2006 ATLAS COPCO QAS80	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9308959&LP=MAT	YA306343360556810		7.000	13-6-2013 9:23:00	Netherlands
2007 ATLAS COPCO QAS100	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9498559&LP=MAT	YA306343070636860	9.568	5.500	26-9-2013 14:26:00	Netherlands
1998 ATLAS COPCO QAS108	http://www.marketbook.nl/listingsdetail/detail.aspx?OHID=9308901&LP=MAT	YA360632100283780		6.500	13-6-2013 9:17:00	Netherlands
