name_auction	link	serial_number	sold_price	sold_date	location
1993 DAF 2700	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5163465&LP=TRK	VIN #XLRAE25HS0E384253	5.000	9-5-2014 5:02:	Nederland
1990 DAF 2700	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5465447&LP=TRK	Stk #XLRAE25HSOE361582	7.000	18-9-2014 9:15:	Spanje
1994 DAF 2700ATI	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4648277&LP=TRK	VIN #XLRAE25HS0E395004	5.552	2-10-2013 1:09:	Verenigde Arabische Emirate
2000 DAF CF65.210	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4417023&LP=TRK	Stk #XLRAE65NC0E529876	4.000	14-6-2013 2:36:	Nederland
1995 DAF CF65.210	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4346419&LP=TRK	VIN #XLRAE65NC0E424518	8.000	9-5-2013 7:38:	Italie
1995 DAF CF65.210	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4346431&LP=TRK	VIN #XLRAE65NC0E414292	6.000	9-5-2013 7:38:	Italie
2004 DAF CF65.220	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4297501&LP=TRK	VIN #XLRAE65000E649054	7.615	19-4-2013 9:05:	Groot-Brittannie
2004 DAF CF65.220	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=5214955&LP=TRK	VIN #XLRAE65CC0EG52700	3.084	30-5-2014 8:48:	Groot-Brittannie
2002 DAF CF65.220	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4932673&LP=TRK		10.922	7-2-2014 3:34:	Groot-Brittannie
2002 DAF CF65.220	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4584735&LP=TRK	VIN #XCRAE65CC0E589255	3.487	3-9-2013 3:53:	Groot-Brittannie
2002 DAF CF65.220	http://www.marketbook.nl//listingsdetail/detail.aspx?OHID=4584733&LP=TRK	VIN #XLRAEG5C00E582308	3.197	3-9-2013 3:51:	Groot-Brittannie
